"Departamento","Código Departamento","Municipio","Código Municipio","Programa","Año de asignacion","No. SFV Asignados","Valor Asignado","Tipo de suelo"
"AMAZONAS","91","PUERTO NARIÑO","91,540","MEJORAMIENTO","2,025","50","1,950,000,000","RURAL"
"ANTIOQUIA","5","AMAGÁ","5,030","MEJORAMIENTO","2,024","71","576,520,000","RURAL"
"ANTIOQUIA","5","AMAGÁ","5,030","MEJORAMIENTO","2,025","3","24,360,000","RURAL"
"ANTIOQUIA","5","ANDES","5,034","MEJORAMIENTO","2,024","17","138,040,000","RURAL"
"ANTIOQUIA","5","ANDES","5,034","MEJORAMIENTO","2,025","31","251,720,000","RURAL"
"ANTIOQUIA","5","APARTADÓ","5,045","MEJORAMIENTO","2,025","28","468,000,000","RURAL"
"ANTIOQUIA","5","ARMENIA","5,059","MEJORAMIENTO","2,024","15","121,800,000","RURAL"
"ANTIOQUIA","5","ARMENIA","5,059","MEJORAMIENTO","2,025","14","113,680,000","RURAL"
"ANTIOQUIA","5","BELLO","5,088","MEJORAMIENTO","2,024","48","1,372,800,000","RURAL"
"ANTIOQUIA","5","BELLO","5,088","MEJORAMIENTO","2,025","9","257,400,000","RURAL"
"ANTIOQUIA","5","BETANIA","5,091","MEJORAMIENTO","2,025","18","233,537,490","RURAL"
"ANTIOQUIA","5","BETULIA","5,093","MEJORAMIENTO","2,025","12","280,800,000","RURAL"
"ANTIOQUIA","5","BRICEÑO","5,107","MEJORAMIENTO","2,024","20","162,400,000","RURAL"
"ANTIOQUIA","5","BRICEÑO","5,107","MEJORAMIENTO","2,025","17","138,040,000","RURAL"
"ANTIOQUIA","5","CÁCERES","5,120","MEJORAMIENTO","2,025","168","4,244,909,000","RURAL"
"ANTIOQUIA","5","CAICEDO","5,125","MEJORAMIENTO","2,025","38","308,560,000","RURAL"
"ANTIOQUIA","5","CAREPA","5,147","MEJORAMIENTO","2,025","29","470,600,000","RURAL"
"ANTIOQUIA","5","CAROLINA","5,150","MEJORAMIENTO","2,025","16","207,588,880","RURAL"
"ANTIOQUIA","5","CHIGORODÓ","5,172","MEJORAMIENTO","2,024","30","243,600,000","RURAL"
"ANTIOQUIA","5","CHIGORODÓ","5,172","MEJORAMIENTO","2,025","33","374,920,000","RURAL"
"ANTIOQUIA","5","DABEIBA","5,234","MEJORAMIENTO","2,025","21","798,383,000","RURAL"
"ANTIOQUIA","5","DONMATÍAS","5,237","MEJORAMIENTO","2,025","5","64,871,525","RURAL"
"ANTIOQUIA","5","GIRARDOTA","5,308","MEJORAMIENTO","2,025","13","304,200,000","RURAL"
"ANTIOQUIA","5","GÓMEZ PLATA","5,310","MEJORAMIENTO","2,025","20","259,486,100","RURAL"
"ANTIOQUIA","5","GUARNE","5,318","MEJORAMIENTO","2,024","9","73,080,000","RURAL"
"ANTIOQUIA","5","GUARNE","5,318","MEJORAMIENTO","2,025","16","374,400,000","RURAL"
"ANTIOQUIA","5","ITUANGO","5,361","MEJORAMIENTO","2,025","2","25,948,610","RURAL"
"ANTIOQUIA","5","LIBORINA","5,411","MEJORAMIENTO","2,024","8","64,960,000","RURAL"
"ANTIOQUIA","5","LIBORINA","5,411","MEJORAMIENTO","2,025","1","8,120,000","RURAL"
"ANTIOQUIA","5","MARINILLA","5,440","MEJORAMIENTO","2,024","22","178,640,000","RURAL"
"ANTIOQUIA","5","MARINILLA","5,440","MEJORAMIENTO","2,025","11","89,320,000","RURAL"
"ANTIOQUIA","5","MEDELLÍN","5,001","MEJORAMIENTO","2,024","28","800,800,000","RURAL"
"ANTIOQUIA","5","MEDELLÍN","5,001","MEJORAMIENTO","2,025","16","457,600,000","RURAL"
"ANTIOQUIA","5","MONTEBELLO","5,467","MEJORAMIENTO","2,025","12","155,691,660","RURAL"
"ANTIOQUIA","5","MUTATÁ","5,480","MEJORAMIENTO","2,024","13","105,560,000","RURAL"
"ANTIOQUIA","5","MUTATÁ","5,480","MEJORAMIENTO","2,025","3","39,640,000","RURAL"
"ANTIOQUIA","5","NECHÍ","5,495","MEJORAMIENTO","2,025","169","4,162,745,000","RURAL"
"ANTIOQUIA","5","NECOCLÍ","5,490","MEJORAMIENTO","2,025","17","397,800,000","RURAL"
"ANTIOQUIA","5","PEÑOL","5,541","MEJORAMIENTO","2,024","6","140,400,000","RURAL"
"ANTIOQUIA","5","PEÑOL","5,541","MEJORAMIENTO","2,025","1","23,400,000","RURAL"
"ANTIOQUIA","5","PEQUE","5,543","MEJORAMIENTO","2,024","17","397,800,000","RURAL"
"ANTIOQUIA","5","PEQUE","5,543","MEJORAMIENTO","2,025","8","187,200,000","RURAL"
"ANTIOQUIA","5","SAN CARLOS","5,649","MEJORAMIENTO","2,024","5","117,000,000","RURAL"
"ANTIOQUIA","5","SAN CARLOS","5,649","MEJORAMIENTO","2,025","2","46,800,000","RURAL"
"ANTIOQUIA","5","SAN FRANCISCO","5,652","MEJORAMIENTO","2,025","13","304,200,000","RURAL"
"ANTIOQUIA","5","SAN JOSÉ DE LA MONTAÑA","5,658","MEJORAMIENTO","2,025","11","142,717,355","RURAL"
