"Departamento","Código Divipola Departamento","Municipio","Código Divipola Municipio","Programa","Año de Asignacion","Estado","No.SFV Asignados","Valor Asignado"
"ANTIOQUIA","5","MEDELLÍN","5001","Convocatoria","2.024","Asignados","27","772.200.000"
"ANTIOQUIA","5","MEDELLÍN","5001","Convocatoria","2.025","Asignados","16","457.600.000"
"ANTIOQUIA","5","MEDELLÍN","5001","Sentencias judiciales","2.022","Asignados","19","1.443.810.000"
"ANTIOQUIA","5","MEDELLÍN","5001","Sentencias judiciales","2.023","Asignados","107","9.886.046.300"
"ANTIOQUIA","5","MEDELLÍN","5001","Sentencias judiciales","2.024","Asignados","8","823.072.540"
"ANTIOQUIA","5","ABEJORRAL","5002","Sentencias judiciales","2.023","Asignados","1","95.500.000"
"ANTIOQUIA","5","ABEJORRAL","5002","Sentencias judiciales","2.024","Asignados","1","101.400.000"
"ANTIOQUIA","5","ABRIAQUÍ","5004","Sentencias judiciales","2.023","Asignados","1","81.200.000"
"ANTIOQUIA","5","AMAGÁ","5030","Convocatoria","2.024","Asignados","71","576.520.000"
"ANTIOQUIA","5","AMAGÁ","5030","Convocatoria","2.025","Asignados","3","24.360.000"
"ANTIOQUIA","5","ANDES","5034","Convocatoria","2.024","Asignados","17","138.040.000"
"ANTIOQUIA","5","ANDES","5034","Convocatoria","2.025","Asignados","31","251.720.000"
"ANTIOQUIA","5","APARTADÓ","5045","Convocatoria","2.025","Asignados","16","270.400.000"
"ANTIOQUIA","5","APARTADÓ","5045","Sentencias judiciales","2.022","Asignados","3","222.675.000"
"ANTIOQUIA","5","APARTADÓ","5045","Sentencias judiciales","2.023","Asignados","1","100.700.000"
"ANTIOQUIA","5","APARTADÓ","5045","Sentencias judiciales","2.024","Asignados","1","104.000.000"
"ANTIOQUIA","5","APARTADÓ","5045","Sentencias judiciales","2.025","Asignados","1","103.545.000"
"ANTIOQUIA","5","ARMENIA","5059","Convocatoria","2.024","Asignados","15","121.800.000"
"ANTIOQUIA","5","ARMENIA","5059","Convocatoria","2.025","Asignados","14","113.680.000"
"ANTIOQUIA","5","BELLO","5088","Convocatoria","2.024","Asignados","48","1.372.800.000"
"ANTIOQUIA","5","BELLO","5088","Convocatoria","2.025","Asignados","9","257.400.000"
"ANTIOQUIA","5","BETANIA","5091","Convocatoria","2.025","Asignados","18","233.537.490"
"ANTIOQUIA","5","CIUDAD BOLÍVAR","5101","Sentencias judiciales","2.025","Asignados","1","108.745.000"
"ANTIOQUIA","5","BRICEÑO","5107","Convocatoria","2.024","Asignados","20","162.400.000"
"ANTIOQUIA","5","BRICEÑO","5107","Convocatoria","2.025","Asignados","17","138.040.000"
"ANTIOQUIA","5","CÁCERES","5120","Convocatoria","2.025","Asignados","153","3.893.909.000"
"ANTIOQUIA","5","CÁCERES","5120","Sentencias judiciales","2.024","Asignados","1","111.800.000"
"ANTIOQUIA","5","CÁCERES","5120","Sentencias judiciales","2.025","Asignados","1","102.570.000"
"ANTIOQUIA","5","CAICEDO","5125","Convocatoria","2.025","Asignados","38","308.560.000"
"ANTIOQUIA","5","CAREPA","5147","Convocatoria","2.025","Asignados","10","223.600.000"
"ANTIOQUIA","5","CAROLINA","5150","Convocatoria","2.025","Asignados","16","207.588.880"
"ANTIOQUIA","5","CHIGORODÓ","5172","Convocatoria","2.024","Asignados","30","243.600.000"
"ANTIOQUIA","5","CHIGORODÓ","5172","Convocatoria","2.025","Asignados","28","257.920.000"
"ANTIOQUIA","5","CHIGORODÓ","5172","Sentencias judiciales","2.022","Asignados","1","70.000.000"
"ANTIOQUIA","5","CHIGORODÓ","5172","Sentencias judiciales","2.023","Asignados","1","86.300.000"
"ANTIOQUIA","5","CHIGORODÓ","5172","Sentencias judiciales","2.025","Asignados","1","99.645.000"
"ANTIOQUIA","5","COCORNÁ","5197","Sentencias judiciales","2.023","Asignados","1","91.600.000"
"ANTIOQUIA","5","COCORNÁ","5197","Sentencias judiciales","2.025","Asignados","2","240.695.000"
"ANTIOQUIA","5","CONCORDIA","5209","Sentencias judiciales","2.023","Asignados","1","85.750.000"
"ANTIOQUIA","5","CONCORDIA","5209","Sentencias judiciales","2.024","Asignados","1","98.800.000"
"ANTIOQUIA","5","DABEIBA","5234","Convocatoria","2.025","Asignados","21","798.383.000"
"ANTIOQUIA","5","DABEIBA","5234","ETCR","2.024","Asignados","12","1.644.000.000"
"ANTIOQUIA","5","DABEIBA","5234","ETCR","2.025","Asignados","82","12.145.430.000"
"ANTIOQUIA","5","DONMATÍAS","5237","Convocatoria","2.025","Asignados","5","64.871.525"
"ANTIOQUIA","5","EL BAGRE","5250","Sentencias judiciales","2.023","Asignados","1","92.200.000"
"ANTIOQUIA","5","EL BAGRE","5250","Sentencias judiciales","2.024","Asignados","1","100.750.000"
"ANTIOQUIA","5","EL BAGRE","5250","Sentencias judiciales","2.025","Asignados","9","990.405.000"
"ANTIOQUIA","5","GIRARDOTA","5308","Convocatoria","2.025","Asignados","13","304.200.000"
"ANTIOQUIA","5","GIRARDOTA","5308","Sentencias judiciales","2.023","Asignados","1","90.950.000"
"ANTIOQUIA","5","GIRARDOTA","5308","Sentencias judiciales","2.024","Asignados","1","104.650.000"
"ANTIOQUIA","5","GIRARDOTA","5308","Sentencias judiciales","2.025","Asignados","1","104.845.000"
"ANTIOQUIA","5","GÓMEZ PLATA","5310","Convocatoria","2.025","Asignados","18","233.537.490"
"ANTIOQUIA","5","GRANADA","5313","Sentencias judiciales","2.023","Asignados","7","662.975.000"
"ANTIOQUIA","5","GRANADA","5313","Sentencias judiciales","2.024","Asignados","8","831.925.400"
"ANTIOQUIA","5","GRANADA","5313","Sentencias judiciales","2.025","Asignados","4","428.480.000"
"ANTIOQUIA","5","GUARNE","5318","Convocatoria","2.024","Asignados","9","73.080.000"
"ANTIOQUIA","5","GUARNE","5318","Convocatoria","2.025","Asignados","16","374.400.000"
"ANTIOQUIA","5","ITUANGO","5361","Convocatoria","2.025","Asignados","2","25.948.610"
"ANTIOQUIA","5","LA UNIÓN","5400","Sentencias judiciales","2.023","Asignados","2","162.400.000"
"ANTIOQUIA","5","LA UNIÓN","5400","Sentencias judiciales","2.025","Asignados","1","105.170.000"
