"Año","Trimestre","Departamento","Nueva- VIS","Nueva- No VIS","Usada - VIS","Usada- No VIS"
"2.021","1","AMAZONAS","0","0","6","0"
"2.021","2","AMAZONAS","0","0","1","0"
"2.021","3","AMAZONAS","0","0","7","0"
"2.021","1","ANTIOQUIA","19","4","331","8"
"2.021","2","ANTIOQUIA","16","1","241","14"
"2.021","3","ANTIOQUIA","15","3","288","19"
"2.021","1","ARAUCA","0","0","7","0"
"2.021","2","ARAUCA","0","0","6","1"
"2.021","3","ARAUCA","0","0","6","0"
"2.021","1","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","0","0","1","0"
"2.021","1","ATLÁNTICO","15","1","180","8"
"2.021","2","ATLÁNTICO","8","3","129","6"
"2.021","3","ATLÁNTICO","17","3","152","5"
"2.021","1","BOGOTÁ, D.C.","21","16","327","75"
"2.021","2","BOGOTÁ, D.C.","23","12","265","77"
"2.021","3","BOGOTÁ, D.C.","31","18","270","92"
"2.021","1","BOLÍVAR","13","1","78","3"
"2.021","2","BOLÍVAR","7","0","63","6"
"2.021","3","BOLÍVAR","6","3","77","2"
"2.021","1","BOYACÁ","21","2","108","9"
"2.021","2","BOYACÁ","13","3","126","11"
"2.021","3","BOYACÁ","18","2","138","14"
"2.021","1","CALDAS","6","1","101","5"
"2.021","2","CALDAS","7","0","63","0"
"2.021","3","CALDAS","2","1","81","6"
"2.021","1","CAQUETÁ","1","0","53","1"
"2.021","2","CAQUETÁ","4","0","51","2"
"2.021","3","CAQUETÁ","4","0","92","2"
"2.021","1","CASANARE","2","0","42","0"
"2.021","2","CASANARE","6","0","57","1"
"2.021","3","CASANARE","1","0","57","0"
"2.021","1","CAUCA","8","0","86","1"
"2.021","2","CAUCA","7","0","66","4"
"2.021","3","CAUCA","6","2","93","3"
"2.021","1","CESAR","1","0","90","2"
"2.021","2","CESAR","2","0","64","0"
"2.021","3","CESAR","7","0","96","3"
"2.021","1","CHOCÓ","0","0","13","0"
"2.021","2","CHOCÓ","0","0","9","0"
"2.021","3","CHOCÓ","0","0","18","0"
"2.021","1","CÓRDOBA","7","0","126","6"
"2.021","2","CÓRDOBA","7","1","90","1"
"2.021","3","CÓRDOBA","3","0","104","3"
"2.021","1","CUNDINAMARCA","18","5","179","12"
"2.021","2","CUNDINAMARCA","12","1","143","17"
"2.021","3","CUNDINAMARCA","22","5","190","22"
"2.021","1","GUAINÍA","0","0","3","0"
"2.021","3","GUAINÍA","1","0","2","0"
"2.021","1","GUAVIARE","1","0","8","0"
"2.021","2","GUAVIARE","0","0","5","0"
"2.021","3","GUAVIARE","0","0","3","0"
"2.021","1","HUILA","13","3","139","4"
"2.021","2","HUILA","13","0","131","5"
"2.021","3","HUILA","12","0","172","8"
"2.021","1","LA GUAJIRA","1","0","22","1"
"2.021","2","LA GUAJIRA","0","0","31","0"
"2.021","3","LA GUAJIRA","0","0","31","0"
"2.021","1","MAGDALENA","4","0","63","3"
"2.021","2","MAGDALENA","1","1","55","5"
"2.021","3","MAGDALENA","1","0","45","2"
"2.021","1","META","10","1","202","8"
"2.021","2","META","7","0","148","11"
"2.021","3","META","7","1","168","13"
"2.021","1","NARIÑO","7","1","60","2"
"2.021","2","NARIÑO","5","0","35","0"
"2.021","3","NARIÑO","8","0","57","5"
"2.021","1","NORTE DE SANTANDER","6","0","117","2"
"2.021","2","NORTE DE SANTANDER","10","0","120","4"
"2.021","3","NORTE DE SANTANDER","10","1","152","6"
"2.021","1","PUTUMAYO","0","0","15","0"
"2.021","2","PUTUMAYO","1","0","21","0"
"2.021","3","PUTUMAYO","2","0","14","2"
"2.021","1","QUINDIO","9","2","91","3"
"2.021","2","QUINDIO","5","0","51","6"
"2.021","3","QUINDIO","9","1","105","4"
"2.021","1","RISARALDA","6","1","81","6"
"2.021","2","RISARALDA","4","0","62","5"
"2.021","3","RISARALDA","9","1","72","5"
"2.021","1","SANTANDER","18","8","217","16"
"2.021","2","SANTANDER","18","1","170","15"
"2.021","3","SANTANDER","17","3","173","18"
"2.021","1","SUCRE","6","0","60","1"
"2.021","2","SUCRE","6","0","65","0"
"2.021","3","SUCRE","6","0","98","1"
"2.021","1","TOLIMA","27","10","215","14"
"2.021","2","TOLIMA","21","5","197","8"
"2.021","3","TOLIMA","27","2","238","20"
"2.021","1","VALLE DEL CAUCA","13","2","229","12"
"2.021","2","VALLE DEL CAUCA","11","1","215","12"
"2.021","3","VALLE DEL CAUCA","7","3","263","21"
"2.021","1","VICHADA","0","1","1","0"
"2.021","2","VICHADA","0","0","3","0"
"2.021","3","VICHADA","0","0","2","0"
"2.021","4","ANTIOQUIA","26","5","334","17"
"2.021","4","ARAUCA","0","0","12","1"
"2.021","4","ATLÁNTICO","11","2","162","8"
"2.021","4","BOGOTÁ, D.C.","38","13","310","97"
"2.021","4","BOLÍVAR","9","2","81","9"
"2.021","4","BOYACÁ","11","0","139","11"
"2.021","4","CALDAS","5","0","84","3"
"2.021","4","CAQUETÁ","0","0","61","1"
"2.021","4","CASANARE","4","0","58","2"
"2.021","4","CAUCA","4","0","79","2"
"2.021","4","CESAR","2","0","92","2"
"2.021","4","CHOCÓ","1","0","24","0"
"2.021","4","CÓRDOBA","9","0","101","5"
"2.021","4","CUNDINAMARCA","21","9","166","15"
"2.021","4","GUAINÍA","0","0","2","0"
"2.021","4","GUAVIARE","0","0","7","0"
"2.021","4","HUILA","15","1","133","7"
"2.021","4","LA GUAJIRA","1","0","23","0"
"2.021","4","MAGDALENA","3","0","43","5"
"2.021","4","META","8","1","186","13"
"2.021","4","NARIÑO","3","1","60","3"
"2.021","4","NORTE DE SANTANDER","5","3","114","12"
"2.021","4","PUTUMAYO","0","0","34","0"
"2.021","4","QUINDIO","8","0","56","7"
"2.021","4","RISARALDA","11","1","76","3"
"2.021","4","SANTANDER","20","1","162","23"
"2.021","4","SUCRE","2","0","50","2"
"2.021","4","TOLIMA","20","3","171","26"
"2.021","4","VALLE DEL CAUCA","17","2","226","15"
"2.021","4","VICHADA","0","0","1","0"
"2.022","1","AMAZONAS","1","0","2","0"
"2.022","1","ANTIOQUIA","13","3","272","9"
"2.022","1","ARAUCA","0","0","4","0"
"2.022","1","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","0","0","2","0"
"2.022","1","ATLÁNTICO","5","1","115","3"
"2.022","1","BOGOTÁ, D.C.","20","10","241","74"
"2.022","1","BOLÍVAR","6","2","83","9"
"2.022","1","BOYACÁ","11","2","108","14"
"2.022","1","CALDAS","1","0","59","2"
"2.022","1","CAQUETÁ","0","1","45","1"
"2.022","1","CASANARE","4","0","30","2"
"2.022","1","CAUCA","7","0","38","1"
"2.022","1","CESAR","2","0","83","2"
"2.022","1","CHOCÓ","0","0","21","0"
"2.022","1","CÓRDOBA","2","0","83","2"
"2.022","1","CUNDINAMARCA","19","4","126","10"
"2.022","1","GUAINÍA","0","0","1","0"
"2.022","1","GUAVIARE","0","0","5","0"
"2.022","1","HUILA","13","0","121","3"
"2.022","1","LA GUAJIRA","0","0","26","0"
"2.022","1","MAGDALENA","1","1","46","1"
"2.022","1","META","4","0","145","5"
"2.022","1","NARIÑO","4","0","42","2"
"2.022","1","NORTE DE SANTANDER","6","0","132","5"
"2.022","1","PUTUMAYO","2","0","13","0"
"2.022","1","QUINDIO","5","0","60","7"
"2.022","1","RISARALDA","6","2","81","5"
"2.022","1","SANTANDER","8","3","145","15"
"2.022","1","SUCRE","2","0","53","0"
"2.022","1","TOLIMA","13","7","145","9"
"2.022","1","VALLE DEL CAUCA","11","0","183","15"
"2.022","1","VICHADA","0","0","1","0"
"2.022","2","AMAZONAS","0","0","4","0"
"2.022","2","ANTIOQUIA","14","2","262","11"
"2.022","2","ARAUCA","0","0","3","1"
"2.022","2","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CA","0","0","1","0"
"2.022","2","ATLÁNTICO","6","1","128","5"
"2.022","2","BOGOTÁ, D.C.","25","13","270","71"
"2.022","2","BOLÍVAR","8","2","56","6"
"2.022","2","BOYACÁ","5","4","92","10"
"2.022","2","CALDAS","6","1","63","5"
"2.022","2","CAQUETÁ","1","1","54","2"
"2.022","2","CASANARE","6","0","33","0"
"2.022","2","CAUCA","1","0","74","10"
"2.022","2","CESAR","2","0","72","2"
"2.022","2","CHOCÓ","1","0","18","0"
"2.022","2","CÓRDOBA","1","0","93","2"
"2.022","2","CUNDINAMARCA","21","6","195","27"
"2.022","2","GUAINÍA","0","0","3","0"
"2.022","2","GUAVIARE","2","0","5","0"
"2.022","2","HUILA","9","1","106","12"
"2.022","2","LA GUAJIRA","0","0","16","0"
"2.022","2","MAGDALENA","2","1","37","4"
"2.022","2","META","3","1","141","10"
"2.022","2","NARIÑO","2","2","40","4"
"2.022","2","NORTE DE SANTANDER","10","1","129","2"
"2.022","2","PUTUMAYO","0","0","20","0"
"2.022","2","QUINDIO","4","0","83","5"
"2.022","2","RISARALDA","9","1","82","3"
"2.022","2","SANTANDER","13","2","157","16"
"2.022","2","SUCRE","1","0","59","0"
"2.022","2","TOLIMA","13","3","205","24"
"2.022","2","VALLE DEL CAUCA","16","4","255","14"
"2.022","2","VAUPÉS","0","0","0","1"
"2.022","2","VICHADA","0","0","1","0"
"2.022","3","ANTIOQUIA","23","2","274","14"
"2.022","3","ARAUCA","0","0","7","0"
"2.022","3","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","0","0","1","0"
"2.022","3","ATLÁNTICO","9","3","121","9"
"2.022","3","BOGOTÁ, D.C.","26","19","268","69"
"2.022","3","BOLÍVAR","11","6","61","9"
"2.022","3","BOYACÁ","12","1","112","10"
"2.022","3","CALDAS","3","0","64","2"
"2.022","3","CAQUETÁ","3","0","50","2"
