"Año","Trimestre","Departamento","VIS - Policía Nacional","VIS - Ejército Nacional","VIS - Fuerza Aérea Colombiana","VIS - Armada Nacional","VIS - Otros*","No VIS - Policía Nacional","No VIS - Ejército Nacional","No VIS - Fuerza Aérea Colombiana","No VIS - Armada Nacional","No VIS - Otros*"
"2.021","1","AMAZONAS","5","1","0","0","0","0","0","0","0","0"
"2.021","2","AMAZONAS","0","0","0","1","0","0","0","0","0","0"
"2.021","3","AMAZONAS","5","1","0","1","0","0","0","0","0","0"
"2.021","1","ANTIOQUIA","193","132","0","6","0","6","1","1","0","0"
"2.021","2","ANTIOQUIA","144","90","2","5","0","9","5","0","0","0"
"2.021","3","ANTIOQUIA","168","113","2","5","0","12","7","0","0","0"
"2.021","1","ARAUCA","4","3","0","0","0","0","0","0","0","0"
"2.021","2","ARAUCA","3","3","0","0","0","0","1","0","0","0"
"2.021","3","ARAUCA","3","3","0","0","0","0","0","0","0","0"
"2.021","1","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","1","0","0","0","0","0","0","0","0","0"
"2.021","1","ATLÁNTICO","124","29","0","27","0","2","3","0","3","0"
"2.021","2","ATLÁNTICO","88","24","0","17","0","2","1","1","2","0"
"2.021","3","ATLÁNTICO","100","34","1","17","0","2","1","0","2","0"
"2.021","1","BOGOTÁ, D.C.","206","104","9","8","0","25","27","14","9","0"
"2.021","2","BOGOTÁ, D.C.","165","82","6","12","0","26","32","10","8","1"
"2.021","3","BOGOTÁ, D.C.","178","69","4","18","1","34","37","11","10","0"
"2.021","1","BOLÍVAR","32","7","0","39","0","0","1","1","1","0"
"2.021","2","BOLÍVAR","23","9","0","31","0","0","1","0","5","0"
"2.021","3","BOLÍVAR","40","10","0","27","0","0","0","0","2","0"
"2.021","1","BOYACÁ","62","43","2","1","0","3","6","0","0","0"
"2.021","2","BOYACÁ","70","54","0","2","0","1","9","1","0","0"
"2.021","3","BOYACÁ","88","44","0","6","0","3","7","2","2","0"
"2.021","1","CALDAS","84","12","1","4","0","1","3","1","0","0"
"2.021","2","CALDAS","46","15","0","2","0","0","0","0","0","0"
"2.021","3","CALDAS","47","32","1","1","0","2","3","1","0","0"
"2.021","1","CAQUETÁ","17","36","0","0","0","1","0","0","0","0"
"2.021","2","CAQUETÁ","9","41","0","1","0","0","2","0","0","0"
"2.021","3","CAQUETÁ","24","66","1","1","0","1","0","0","1","0"
"2.021","1","CASANARE","15","26","1","0","0","0","0","0","0","0"
"2.021","2","CASANARE","17","39","1","0","0","1","0","0","0","0"
"2.021","3","CASANARE","28","29","0","0","0","0","0","0","0","0"
"2.021","1","CAUCA","36","49","0","1","0","0","0","0","1","0"
"2.021","2","CAUCA","39","26","0","1","0","1","3","0","0","0"
"2.021","3","CAUCA","43","49","0","1","0","1","2","0","0","0"
"2.021","1","CESAR","43","47","0","0","0","1","1","0","0","0"
"2.021","2","CESAR","25","37","0","2","0","0","0","0","0","0"
"2.021","3","CESAR","33","63","0","0","0","0","1","1","1","0"
"2.021","1","CHOCÓ","6","7","0","0","0","0","0","0","0","0"
"2.021","2","CHOCÓ","6","3","0","0","0","0","0","0","0","0"
"2.021","3","CHOCÓ","10","8","0","0","0","0","0","0","0","0"
"2.021","1","CÓRDOBA","57","37","0","32","0","2","4","0","0","0"
"2.021","2","CÓRDOBA","43","27","0","20","0","0","0","0","1","0"
"2.021","3","CÓRDOBA","51","38","0","15","0","0","2","0","1","0"
"2.021","1","CUNDINAMARCA","98","74","2","4","1","4","7","1","0","0"
"2.021","2","CUNDINAMARCA","80","58","1","4","0","1","13","1","0","2"
"2.021","3","CUNDINAMARCA","101","78","4","6","1","8","12","1","0","1"
"2.021","1","GUAINÍA","1","1","0","1","0","0","0","0","0","0"
"2.021","3","GUAINÍA","2","0","0","0","0","0","0","0","0","0"
"2.021","1","GUAVIARE","6","2","0","0","0","0","0","0","0","0"
"2.021","2","GUAVIARE","3","2","0","0","0","0","0","0","0","0"
"2.021","3","GUAVIARE","2","0","0","1","0","0","0","0","0","0"
"2.021","1","HUILA","60","73","2","4","0","2","2","0","0","0"
"2.021","2","HUILA","42","82","1","6","0","0","4","0","1","0"
"2.021","3","HUILA","59","107","0","6","0","2","6","0","0","0"
"2.021","1","LA GUAJIRA","16","6","0","0","0","0","1","0","0","0"
"2.021","2","LA GUAJIRA","16","15","0","0","0","0","0","0","0","0"
"2.021","3","LA GUAJIRA","17","14","0","0","0","0","0","0","0","0"
"2.021","1","MAGDALENA","44","15","0","4","0","0","0","1","2","0"
"2.021","2","MAGDALENA","32","23","0","0","0","1","3","0","1","0"
"2.021","3","MAGDALENA","31","12","0","2","0","0","2","0","0","0"
"2.021","1","META","129","68","4","1","0","4","2","1","1","0"
"2.021","2","META","97","47","1","3","0","4","6","0","1","0"
"2.021","3","META","98","66","4","0","0","5","8","0","0","0"
"2.021","1","NARIÑO","43","17","0","0","0","0","2","0","0","0"
"2.021","2","NARIÑO","20","14","0","1","0","0","0","0","0","0"
"2.021","3","NARIÑO","30","27","0","0","0","1","4","0","0","0"
"2.021","1","NORTE DE SANTANDER","73","34","2","8","0","0","2","0","0","0"
"2.021","2","NORTE DE SANTANDER","64","52","0","4","0","2","2","0","0","0"
"2.021","3","NORTE DE SANTANDER","85","63","0","4","0","4","2","0","0","0"
"2.021","1","PUTUMAYO","5","9","0","1","0","0","0","0","0","0"
"2.021","2","PUTUMAYO","8","12","0","1","0","0","0","0","0","0"
"2.021","3","PUTUMAYO","5","8","0","1","0","1","1","0","0","0"
"2.021","1","QUINDIO","61","26","0","4","0","1","1","0","1","0"
"2.021","2","QUINDIO","19","27","0","5","0","2","2","1","1","0"
"2.021","3","QUINDIO","57","44","0","4","0","3","1","0","0","0"
"2.021","1","RISARALDA","65","14","0","2","0","2","2","1","1","0"
"2.021","2","RISARALDA","46","16","0","0","0","3","2","0","0","0"
"2.021","3","RISARALDA","55","14","0","3","0","4","1","0","0","0"
"2.021","1","SANTANDER","123","83","1","10","0","4","10","2","0","0"
"2.021","2","SANTANDER","83","72","1","14","0","4","9","1","1","0"
"2.021","3","SANTANDER","91","73","0","9","0","2","14","0","2","0"
"2.021","1","SUCRE","39","6","0","15","0","1","0","0","0","0"
"2.021","2","SUCRE","48","4","0","13","0","0","0","0","0","0"
